# binary black hole Inspiral Simulation
# m1_solar=36.0
# m2_solar=29.0
# r_horizon_1_m=106320.21775440763
# r_horizon_2_m=85646.84207993947
# distance_mpc=410.0
# pn_order=2.5
# eccentricity=0.5
t_sec,bh1_x_m,bh1_y_m,bh1_z_m,bh2_x_m,bh2_y_m,bh2_z_m,separation_m,velocity_m_s,f_gw_hz,phase_rad,h_plus,h_cross
3.4959102796e-03,2.2297677745e+06,4.5803234712e+04,0.0000000000e+00,-2.7679875821e+06,-5.6859187919e+04,-0.0000000000e+00,4.9988096761e+06,2.9385368723e+07,2.6452656128e+00,2.0538817747e-02,1.4386546098e-22,5.9129791394e-24
3.6799055574e-03,2.2296595792e+06,4.8213120663e+04,0.0000000000e+00,-2.7678532708e+06,-5.9850770478e+04,-0.0000000000e+00,4.9986810751e+06,2.9386922479e+07,2.6453676955e+00,2.1620165144e-02,1.4385603746e-22,6.2242622793e-24
3.8639008353e-03,2.2295458345e+06,5.0622882031e+04,0.0000000000e+00,-2.7677120704e+06,-6.2842198384e+04,-0.0000000000e+00,4.9985458778e+06,2.9388556109e+07,2.6454750213e+00,2.2701567554e-02,1.4384612969e-22,6.5355567747e-24
4.0478961132e-03,2.2294265402e+06,5.3032512596e+04,0.0000000000e+00,-2.7675639809e+06,-6.5833463912e+04,-0.0000000000e+00,4.9984040841e+06,2.9390269615e+07,2.6455875916e+00,2.3783027740e-02,1.4383573753e-22,6.8468631940e-24
4.2318913910e-03,2.2293016961e+06,5.5442006132e+04,0.0000000000e+00,-2.7674090020e+06,-6.8824559337e+04,-0.0000000000e+00,4.9982556937e+06,2.9392062998e+07,2.6457054075e+00,2.4864548465e-02,1.4382486081e-22,7.1581821053e-24
4.4158866689e-03,2.2291713021e+06,5.7851356416e+04,0.0000000000e+00,-2.7672471336e+06,-7.1815476931e+04,-0.0000000000e+00,4.9981007065e+06,2.9393936258e+07,2.6458284704e+00,2.5946132494e-02,1.4381349939e-22,7.4695140765e-24
4.5998819468e-03,2.2290353579e+06,6.0260557222e+04,0.0000000000e+00,-2.7670783754e+06,-7.4806208965e+04,-0.0000000000e+00,4.9979391220e+06,2.9395889399e+07,2.6459567817e+00,2.7027782590e-02,1.4380165307e-22,7.7808596754e-24
4.7838772247e-03,2.2288938635e+06,6.2669602321e+04,0.0000000000e+00,-2.7669027271e+06,-7.7796747709e+04,-0.0000000000e+00,4.9977709402e+06,2.9397922420e+07,2.6460903429e+00,2.8109501521e-02,1.4378932169e-22,8.0922194694e-24
4.9678725025e-03,2.2287468187e+06,6.5078485486e+04,0.0000000000e+00,-2.7667201887e+06,-8.0787085431e+04,-0.0000000000e+00,4.9975961608e+06,2.9400035325e+07,2.6462291555e+00,2.9191292052e-02,1.4377650506e-22,8.4035940259e-24
5.1518677804e-03,2.2285942232e+06,6.7487200486e+04,0.0000000000e+00,-2.7665307598e+06,-8.3777214396e+04,-0.0000000000e+00,4.9974147835e+06,2.9402228114e+07,2.6463732211e+00,3.0273156950e-02,1.4376320300e-22,8.7149839117e-24
5.3358630583e-03,2.2284360768e+06,6.9895741088e+04,0.0000000000e+00,-2.7663344401e+06,-8.6767126868e+04,-0.0000000000e+00,4.9972268080e+06,2.9404500789e+07,2.6465225413e+00,3.1355098985e-02,1.4374941529e-22,9.0263896937e-24
5.5198583362e-03,2.2282723793e+06,7.2304101061e+04,0.0000000000e+00,-2.7661312295e+06,-8.9756815110e+04,-0.0000000000e+00,4.9970322341e+06,2.9406853352e+07,2.6466771178e+00,3.2437120925e-02,1.4373514173e-22,9.3378119383e-24
5.7038536140e-03,2.2281031306e+06,7.4712274167e+04,0.0000000000e+00,-2.7659211277e+06,-9.2746271380e+04,-0.0000000000e+00,4.9968310615e+06,2.9409285806e+07,2.6468369524e+00,3.3519225542e-02,1.4372038211e-22,9.6492512118e-24
5.8878488919e-03,2.2279283304e+06,7.7120254172e+04,0.0000000000e+00,-2.7657041343e+06,-9.5735487938e+04,-0.0000000000e+00,4.9966232898e+06,2.9411798151e+07,2.6470020469e+00,3.4601415606e-02,1.4370513620e-22,9.9607080800e-24
6.0718441698e-03,2.2277479785e+06,7.9528034836e+04,0.0000000000e+00,-2.7654802492e+06,-9.8724457038e+04,-0.0000000000e+00,4.9964089188e+06,2.9414390390e+07,2.6471724033e+00,3.5683693891e-02,1.4368940378e-22,1.0272183109e-23
6.2558394476e-03,2.2275620746e+06,8.1935609919e+04,0.0000000000e+00,-2.7652494719e+06,-1.0171317093e+05,-0.0000000000e+00,4.9961879482e+06,2.9417062525e+07,2.6473480233e+00,3.6766063171e-02,1.4367318461e-22,1.0583676863e-23
6.4398347255e-03,2.2273706185e+06,8.4342973179e+04,0.0000000000e+00,-2.7650118023e+06,-1.0470162188e+05,-0.0000000000e+00,4.9959603776e+06,2.9419814558e+07,2.6475289091e+00,3.7848526220e-02,1.4365647845e-22,1.0895189908e-23
6.6238300034e-03,2.2271736099e+06,8.6750118371e+04,0.0000000000e+00,-2.7647672399e+06,-1.0768980212e+05,-0.0000000000e+00,4.9957262066e+06,2.9422646491e+07,2.6477150627e+00,3.8931085814e-02,1.4363928504e-22,1.1206722808e-23
6.8078252813e-03,2.2269710487e+06,8.9157039250e+04,0.0000000000e+00,-2.7645157846e+06,-1.1067770390e+05,-0.0000000000e+00,4.9954854350e+06,2.9425558327e+07,2.6479064863e+00,4.0013744731e-02,1.4362160413e-22,1.1518276128e-23
6.9918205591e-03,2.2267629344e+06,9.1563729568e+04,0.0000000000e+00,-2.7642574358e+06,-1.1366531946e+05,-0.0000000000e+00,4.9952380623e+06,2.9428550068e+07,2.6481031819e+00,4.1096505750e-02,1.4360343544e-22,1.1829850432e-23
7.1758158370e-03,2.2265492669e+06,9.3970183073e+04,0.0000000000e+00,-2.7639921934e+06,-1.1665264106e+05,-0.0000000000e+00,4.9949840882e+06,2.9431621717e+07,2.6483051520e+00,4.2179371651e-02,1.4358477872e-22,1.2141446283e-23
7.3598111149e-03,2.2263300459e+06,9.6376393514e+04,0.0000000000e+00,-2.7637200570e+06,-1.1963966091e+05,-0.0000000000e+00,4.9947235124e+06,2.9434773275e+07,2.6485123987e+00,4.3262345216e-02,1.4356563367e-22,1.2453064245e-23
7.5438063927e-03,2.2261052711e+06,9.8782354637e+04,0.0000000000e+00,-2.7634410262e+06,-1.2262637127e+05,-0.0000000000e+00,4.9944563344e+06,2.9438004746e+07,2.6487249244e+00,4.4345429227e-02,1.4354600000e-22,1.2764704880e-23
7.7278016706e-03,2.2258749421e+06,1.0118806018e+05,0.0000000000e+00,-2.7631551006e+06,-1.2561276437e+05,-0.0000000000e+00,4.9941825538e+06,2.9441316132e+07,2.6489427317e+00,4.5428626468e-02,1.4352587743e-22,1.3076368751e-23
7.9117969485e-03,2.2256390588e+06,1.0359350390e+05,0.0000000000e+00,-2.7628622798e+06,-1.2859883242e+05,-0.0000000000e+00,4.9939021703e+06,2.9444707435e+07,2.6491658229e+00,4.6511939726e-02,1.4350526565e-22,1.3388056420e-23
