# binary black hole Inspiral Simulation
# m1_solar=36.0
# m2_solar=29.0
# r_horizon_1_m=106320.21775440763
# r_horizon_2_m=85646.84207993947
# distance_mpc=410.0
# pn_order=2.5
# eccentricity=0.5
t_sec,bh1_x_m,bh1_y_m,bh1_z_m,bh2_x_m,bh2_y_m,bh2_z_m,separation_m,velocity_m_s,f_gw_hz,phase_rad,h_plus,h_cross
3.3983927823e-01,1.8879113117e+05,1.8485421336e+06,0.0000000000e+00,-2.3436140421e+05,-2.2947419589e+06,-0.0000000000e+00,4.1648362680e+06,3.5279788306e+07,3.4783420741e+00,7.7522047737e+00,-1.6925113510e-22,3.4935544162e-23
3.4002327351e-01,1.8604347899e+05,1.8494548672e+06,0.0000000000e+00,-2.3095052564e+05,-2.2958750075e+06,-0.0000000000e+00,4.1662505650e+06,3.5259366486e+07,3.4765710604e+00,7.7537252099e+00,-1.6929909628e-22,3.4409027703e-23
3.4020726878e-01,1.8329494663e+05,1.8503596154e+06,0.0000000000e+00,-2.2753855444e+05,-2.2969981432e+06,-0.0000000000e+00,4.1676564810e+06,3.5239066663e+07,3.4748120306e+00,7.7552446583e+00,-1.6934573356e-22,3.3882953189e-23
3.4039126406e-01,1.8054554728e+05,1.8512563820e+06,0.0000000000e+00,-2.2412550697e+05,-2.2981113708e+06,-0.0000000000e+00,4.1690540187e+06,3.5218888771e+07,3.4730649530e+00,7.7567631259e+00,-1.6939105100e-22,3.3357320035e-23
3.4057525934e-01,1.7779529409e+05,1.8521451710e+06,0.0000000000e+00,-2.2071139956e+05,-2.2992146950e+06,-0.0000000000e+00,4.1704431805e+06,3.5198832746e+07,3.4713297966e+00,7.7582806194e+00,-1.6943505263e-22,3.2832127644e-23
3.4075925462e-01,1.7504420019e+05,1.8530259860e+06,0.0000000000e+00,-2.1729624851e+05,-2.3003081206e+06,-0.0000000000e+00,4.1718239691e+06,3.5178898524e+07,3.4696065303e+00,7.7597971455e+00,-1.6947774244e-22,3.2307375418e-23
3.4094324990e-01,1.7229227869e+05,1.8538988310e+06,0.0000000000e+00,-2.1388007010e+05,-2.3013916522e+06,-0.0000000000e+00,4.1731963868e+06,3.5159086042e+07,3.4678951234e+00,7.7613127111e+00,-1.6951912440e-22,3.1783062747e-23
3.4112724517e-01,1.6953954267e+05,1.8547637096e+06,0.0000000000e+00,-2.1046288055e+05,-2.3024652947e+06,-0.0000000000e+00,4.1745604363e+06,3.5139395236e+07,3.4661955454e+00,7.7628273229e+00,-1.6955920243e-22,3.1259189017e-23
3.4131124045e-01,1.6678600517e+05,1.8556206258e+06,0.0000000000e+00,-2.0704469607e+05,-2.3035290527e+06,-0.0000000000e+00,4.1759161200e+06,3.5119826045e+07,3.4645077660e+00,7.7643409876e+00,-1.6959798041e-22,3.0735753606e-23
3.4149523573e-01,1.6403167922e+05,1.8564695832e+06,0.0000000000e+00,-2.0362553283e+05,-2.3045829309e+06,-0.0000000000e+00,4.1772634404e+06,3.5100378408e+07,3.4628317553e+00,7.7658537119e+00,-1.6963546222e-22,3.0212755886e-23
3.4167923101e-01,1.6127657783e+05,1.8573105856e+06,0.0000000000e+00,-2.0020540697e+05,-2.3056269339e+06,-0.0000000000e+00,4.1786024000e+06,3.5081052264e+07,3.4611674834e+00,7.7673655025e+00,-1.6967165167e-22,2.9690195223e-23
3.4186322629e-01,1.5852071397e+05,1.8581436368e+06,0.0000000000e+00,-1.9678433459e+05,-2.3066610664e+06,-0.0000000000e+00,4.1799330011e+06,3.5061847553e+07,3.4595149210e+00,7.7688763660e+00,-1.6970655257e-22,2.9168070976e-23
3.4204722156e-01,1.5576410059e+05,1.8589687405e+06,0.0000000000e+00,-1.9336233177e+05,-2.3076853331e+06,-0.0000000000e+00,4.1812552463e+06,3.5042764216e+07,3.4578740386e+00,7.7703863092e+00,-1.6974016867e-22,2.8646382498e-23
3.4223121684e-01,1.5300675062e+05,1.8597859004e+06,0.0000000000e+00,-1.8993941456e+05,-2.3086997384e+06,-0.0000000000e+00,4.1825691379e+06,3.5023802194e+07,3.4562448074e+00,7.7718953386e+00,-1.6977250369e-22,2.8125129137e-23
3.4241521212e-01,1.5024867695e+05,1.8605951202e+06,0.0000000000e+00,-1.8651559898e+05,-2.3097042871e+06,-0.0000000000e+00,4.1838746784e+06,3.5004961429e+07,3.4546271984e+00,7.7734034608e+00,-1.6980356134e-22,2.7604310235e-23
3.4259920740e-01,1.4748989248e+05,1.8613964036e+06,0.0000000000e+00,-1.8309090101e+05,-2.3106989837e+06,-0.0000000000e+00,4.1851718700e+06,3.4986241864e+07,3.4530211832e+00,7.7749106825e+00,-1.6983334529e-22,2.7083925127e-23
3.4278320267e-01,1.4473041004e+05,1.8621897542e+06,0.0000000000e+00,-1.7966533660e+05,-2.3116838328e+06,-0.0000000000e+00,4.1864607153e+06,3.4967643441e+07,3.4514267335e+00,7.7764170101e+00,-1.6986185915e-22,2.6563973143e-23
3.4296719795e-01,1.4197024247e+05,1.8629751757e+06,0.0000000000e+00,-1.7623892169e+05,-2.3126588389e+06,-0.0000000000e+00,4.1877412165e+06,3.4949166105e+07,3.4498438212e+00,7.7779224504e+00,-1.6988910653e-22,2.6044453608e-23
3.4315119323e-01,1.3920940258e+05,1.8637526719e+06,0.0000000000e+00,-1.7281167217e+05,-2.3136240065e+06,-0.0000000000e+00,4.1890133759e+06,3.4930809800e+07,3.4482724184e+00,7.7794270097e+00,-1.6991509100e-22,2.5525365842e-23
3.4333518851e-01,1.3644790315e+05,1.8645222462e+06,0.0000000000e+00,-1.6938360391e+05,-2.3145793401e+06,-0.0000000000e+00,4.1902771960e+06,3.4912574472e+07,3.4467124975e+00,7.7809306947e+00,-1.6993981610e-22,2.5006709158e-23
3.4351918379e-01,1.3368575693e+05,1.8652839023e+06,0.0000000000e+00,-1.6595473274e+05,-2.3155248443e+06,-0.0000000000e+00,4.1915326789e+06,3.4894460065e+07,3.4451640312e+00,7.7824335118e+00,-1.6996328532e-22,2.4488482866e-23
3.4370317906e-01,1.3092297667e+05,1.8660376439e+06,0.0000000000e+00,-1.6252507448e+05,-2.3164605234e+06,-0.0000000000e+00,4.1927798271e+06,3.4876466526e+07,3.4436269924e+00,7.7839354674e+00,-1.6998550215e-22,2.3970686270e-23
3.4388717434e-01,1.2815957507e+05,1.8667834744e+06,0.0000000000e+00,-1.5909464491e+05,-2.3173863821e+06,-0.0000000000e+00,4.1940186427e+06,3.4858593802e+07,3.4421013540e+00,7.7854365682e+00,-1.7000647001e-22,2.3453318670e-23
3.4407116962e-01,1.2539556482e+05,1.8675213976e+06,0.0000000000e+00,-1.5566345978e+05,-2.3183024246e+06,-0.0000000000e+00,4.1952491280e+06,3.4840841840e+07,3.4405870895e+00,7.7869368205e+00,-1.7002619234e-22,2.2936379358e-23
3.4425516490e-01,1.2263095860e+05,1.8682514169e+06,0.0000000000e+00,-1.5223153482e+05,-2.3192086555e+06,-0.0000000000e+00,4.1964712853e+06,3.4823210589e+07,3.4390841723e+00,7.7884362307e+00,-1.7004467250e-22,2.2419867626e-23
3.4443916018e-01,1.1986576905e+05,1.8689735359e+06,0.0000000000e+00,-1.4879888572e+05,-2.3201050791e+06,-0.0000000000e+00,4.1976851168e+06,3.4805699997e+07,3.4375925763e+00,7.7899348053e+00,-1.7006191384e-22,2.1903782758e-23
3.4462315545e-01,1.1710000880e+05,1.8696877582e+06,0.0000000000e+00,-1.4536552816e+05,-2.3209916998e+06,-0.0000000000e+00,4.1988906247e+06,3.4788310013e+07,3.4361122755e+00,7.7914325506e+00,-1.7007791969e-22,2.1388124036e-23
3.4480715073e-01,1.1433369043e+05,1.8703940872e+06,0.0000000000e+00,-1.4193147778e+05,-2.3218685221e+06,-0.0000000000e+00,4.2000878112e+06,3.4771040587e+07,3.4346432440e+00,7.7929294732e+00,-1.7009269333e-22,2.0872890736e-23
3.4499114601e-01,1.1156682654e+05,1.8710925265e+06,0.0000000000e+00,-1.3849675019e+05,-2.3227355502e+06,-0.0000000000e+00,4.2012766785e+06,3.4753891669e+07,3.4331854563e+00,7.7944255792e+00,-1.7010623802e-22,2.0358082130e-23
3.4517514129e-01,1.0879942969e+05,1.8717830796e+06,0.0000000000e+00,-1.3506136099e+05,-2.3235927885e+06,-0.0000000000e+00,4.2024572288e+06,3.4736863210e+07,3.4317388871e+00,7.7959208751e+00,-1.7011855699e-22,1.9843697487e-23
3.4535913657e-01,1.0603151240e+05,1.8724657500e+06,0.0000000000e+00,-1.3162532573e+05,-2.3244402413e+06,-0.0000000000e+00,4.2036294642e+06,3.4719955162e+07,3.4303035113e+00,7.7974153672e+00,-1.7012965343e-22,1.9329736071e-23
3.4554313184e-01,1.0326308719e+05,1.8731405410e+06,0.0000000000e+00,-1.2818865996e+05,-2.3252779130e+06,-0.0000000000e+00,4.2047933869e+06,3.4703167477e+07,3.4288793040e+00,7.7989090619e+00,-1.7013953052e-22,1.8816197143e-23
3.4572712712e-01,1.0049416657e+05,1.8738074563e+06,0.0000000000e+00,-1.2475137919e+05,-2.3261058078e+06,-0.0000000000e+00,4.2059489989e+06,3.4686500107e+07,3.4274662405e+00,7.8004019653e+00,-1.7014819139e-22,1.8303079959e-23
3.4591112240e-01,9.7724763002e+04,1.8744664992e+06,0.0000000000e+00,-1.2131349890e+05,-2.3269239300e+06,-0.0000000000e+00,4.2070963025e+06,3.4669953005e+07,3.4260642963e+00,7.8018940839e+00,-1.7015563915e-22,1.7790383773e-23
3.4609511768e-01,9.4954888942e+04,1.8751176731e+06,0.0000000000e+00,-1.1787503455e+05,-2.3277322838e+06,-0.0000000000e+00,4.2082352996e+06,3.4653526125e+07,3.4246734473e+00,7.8033854239e+00,-1.7016187688e-22,1.7278107834e-23
3.4627911295e-01,9.2184556824e+04,1.8757609815e+06,0.0000000000e+00,-1.1443600157e+05,-2.3285308736e+06,-0.0000000000e+00,4.2093659924e+06,3.4637219421e+07,3.4232936694e+00,7.8048759915e+00,-1.7016690763e-22,1.6766251388e-23
3.4646310823e-01,8.9413779061e+04,1.8763964278e+06,0.0000000000e+00,-1.1099641539e+05,-2.3293197034e+06,-0.0000000000e+00,4.2104883829e+06,3.4621032849e+07,3.4219249388e+00,7.8063657930e+00,-1.7017073442e-22,1.6254813678e-23
3.4664710351e-01,8.6642568046e+04,1.8770240153e+06,0.0000000000e+00,-1.0755629137e+05,-2.3300987776e+06,-0.0000000000e+00,4.2116024731e+06,3.4604966362e+07,3.4205672319e+00,7.8078548347e+00,-1.7017336025e-22,1.5743793943e-23
3.4683109879e-01,8.3870936153e+04,1.8776437475e+06,0.0000000000e+00,-1.0411564488e+05,-2.3308681003e+06,-0.0000000000e+00,4.2127082652e+06,3.4589019917e+07,3.4192205253e+00,7.8093431226e+00,-1.7017478807e-22,1.5233191421e-23
3.4701509407e-01,8.1098895736e+04,1.8782556277e+06,0.0000000000e+00,-1.0067449126e+05,-2.3316276757e+06,-0.0000000000e+00,4.2138057611e+06,3.4573193470e+07,3.4178847959e+00,7.8108306631e+00,-1.7017502082e-22,1.4723005344e-23
3.4719908934e-01,7.8326459129e+04,1.8788596592e+06,0.0000000000e+00,-9.7232845816e+04,-2.3323775080e+06,-0.0000000000e+00,4.2148949628e+06,3.4557486979e+07,3.4165600207e+00,7.8123174622e+00,-1.7017406141e-22,1.4213234942e-23
3.4738308462e-01,7.5553638649e+04,1.8794558454e+06,0.0000000000e+00,-9.3790723840e+04,-2.3331176012e+06,-0.0000000000e+00,4.2159758724e+06,3.4541900400e+07,3.4152461770e+00,7.8138035263e+00,-1.7017191270e-22,1.3703879445e-23
3.4756707990e-01,7.2780446591e+04,1.8800441897e+06,0.0000000000e+00,-9.0348140596e+04,-2.3338479596e+06,-0.0000000000e+00,4.2170484917e+06,3.4526433690e+07,3.4139432423e+00,7.8152888614e+00,-1.7016857756e-22,1.3194938075e-23
3.4775107518e-01,7.0006895233e+04,1.8806246952e+06,0.0000000000e+00,-8.6905111324e+04,-2.3345685871e+06,-0.0000000000e+00,4.2181128227e+06,3.4511086810e+07,3.4126511941e+00,7.8167734736e+00,-1.7016405880e-22,1.2686410056e-23
3.4793507046e-01,6.7232996834e+04,1.8811973654e+06,0.0000000000e+00,-8.3461651242e+04,-2.3352794880e+06,-0.0000000000e+00,4.2191688675e+06,3.4495859716e+07,3.4113700105e+00,7.8182573691e+00,-1.7015835921e-22,1.2178294608e-23
3.4811906573e-01,6.4458763635e+04,1.8817622034e+06,0.0000000000e+00,-8.0017775547e+04,-2.3359806663e+06,-0.0000000000e+00,4.2202166278e+06,3.4480752369e+07,3.4100996694e+00,7.8197405540e+00,-1.7015148155e-22,1.1670590947e-23
3.4830306101e-01,6.1684207857e+04,1.8823192126e+06,0.0000000000e+00,-7.6573499409e+04,-2.3366721260e+06,-0.0000000000e+00,4.2212561056e+06,3.4465764729e+07,3.4088401493e+00,7.8212230344e+00,-1.7014342857e-22,1.1163298289e-23
3.4848705629e-01,5.8909341705e+04,1.8828683963e+06,0.0000000000e+00,-7.3128837979e+04,-2.3373538712e+06,-0.0000000000e+00,4.2222873029e+06,3.4450896755e+07,3.4075914285e+00,7.8227048164e+00,-1.7013420297e-22,1.0656415845e-23
3.4867105157e-01,5.6134177365e+04,1.8834097576e+06,0.0000000000e+00,-6.9683806385e+04,-2.3380259060e+06,-0.0000000000e+00,4.2233102214e+06,3.4436148409e+07,3.4063534858e+00,7.8241859061e+00,-1.7012380742e-22,1.0149942828e-23
3.4885504684e-01,5.3358727006e+04,1.8839432998e+06,0.0000000000e+00,-6.6238419732e+04,-2.3386882342e+06,-0.0000000000e+00,4.2243248631e+06,3.4421519652e+07,3.4051263000e+00,7.8256663094e+00,-1.7011224459e-22,9.6438784437e-24
3.4903904212e-01,5.0583002778e+04,1.8844690261e+06,0.0000000000e+00,-6.2792693104e+04,-2.3393408600e+06,-0.0000000000e+00,4.2253312298e+06,3.4407010445e+07,3.4039098504e+00,7.8271460325e+00,-1.7009951710e-22,9.1382219002e-24
3.4922303740e-01,4.7807016816e+04,1.8849869397e+06,0.0000000000e+00,-5.9346641564e+04,-2.3399837872e+06,-0.0000000000e+00,4.2263293234e+06,3.4392620751e+07,3.4027041162e+00,7.8286250814e+00,-1.7008562754e-22,8.6329724014e-24
3.4940703268e-01,4.5030781234e+04,1.8854970438e+06,0.0000000000e+00,-5.5900280153e+04,-2.3406170199e+06,-0.0000000000e+00,4.2273191456e+06,3.4378350532e+07,3.4015090770e+00,7.8301034621e+00,-1.7007057850e-22,8.1281291500e-24
3.4959102796e-01,4.2254308134e+04,1.8859993416e+06,0.0000000000e+00,-5.2453623890e+04,-2.3412405620e+06,-0.0000000000e+00,4.2283006983e+06,3.4364199752e+07,3.4003247123e+00,7.8315811805e+00,-1.7005437250e-22,7.6236913469e-24
3.4977502323e-01,3.9477609597e+04,1.8864938362e+06,0.0000000000e+00,-4.9006687776e+04,-2.3418544174e+06,-0.0000000000e+00,4.2292739832e+06,3.4350168374e+07,3.3991510022e+00,7.8330582428e+00,-1.7003701207e-22,7.1196581914e-24
3.4995901851e-01,3.6700697689e+04,1.8869805309e+06,0.0000000000e+00,-4.5559486787e+04,-2.3424585900e+06,-0.0000000000e+00,4.2302390022e+06,3.4336256363e+07,3.3979879268e+00,7.8345346548e+00,-1.7001849970e-22,6.6160288814e-24
3.5014301379e-01,3.3923584460e+04,1.8874594286e+06,0.0000000000e+00,-4.2112035882e+04,-2.3430530838e+06,-0.0000000000e+00,4.2311957569e+06,3.4322463682e+07,3.3968354663e+00,7.8360104226e+00,-1.6999883786e-22,6.1128026129e-24
3.5032700907e-01,3.1146281943e+04,1.8879305326e+06,0.0000000000e+00,-3.8664349999e+04,-2.3436379026e+06,-0.0000000000e+00,4.2321442492e+06,3.4308790296e+07,3.3956936012e+00,7.8374855521e+00,-1.6997802897e-22,5.6099785809e-24
3.5051100435e-01,2.8368802155e+04,1.8883938460e+06,0.0000000000e+00,-3.5216444055e+04,-2.3442130502e+06,-0.0000000000e+00,4.2330844807e+06,3.4295236172e+07,3.3945623124e+00,7.8389600492e+00,-1.6995607544e-22,5.1075559790e-24
3.5069499962e-01,2.5591157097e+04,1.8888493718e+06,0.0000000000e+00,-3.1768332948e+04,-2.3447785305e+06,-0.0000000000e+00,4.2340164532e+06,3.4281801275e+07,3.3934415805e+00,7.8404339198e+00,-1.6993297967e-22,4.6055339995e-24
3.5087899490e-01,2.2813358754e+04,1.8892971132e+06,0.0000000000e+00,-2.8320031557e+04,-2.3453343474e+06,-0.0000000000e+00,4.2349401684e+06,3.4268485570e+07,3.3923313868e+00,7.8419071699e+00,-1.6990874401e-22,4.1039118337e-24
3.5106299018e-01,2.0035419096e+04,1.8897370732e+06,0.0000000000e+00,-2.4871554740e+04,-2.3458805046e+06,-0.0000000000e+00,4.2358556280e+06,3.4255289026e+07,3.3912317125e+00,7.8433798054e+00,-1.6988337079e-22,3.6026886717e-24
3.5124698546e-01,1.7257350077e+04,1.8901692548e+06,0.0000000000e+00,-2.1422917337e+04,-2.3464170060e+06,-0.0000000000e+00,4.2367628336e+06,3.4242211609e+07,3.3901425391e+00,7.8448518322e+00,-1.6985686232e-22,3.1018637027e-24
3.5143098073e-01,1.4479163637e+04,1.8905936612e+06,0.0000000000e+00,-1.7974134170e+04,-2.3469438553e+06,-0.0000000000e+00,4.2376617869e+06,3.4229253286e+07,3.3890638482e+00,7.8463232562e+00,-1.6982922087e-22,2.6014361151e-24
3.5161497601e-01,1.1700871698e+04,1.8910102953e+06,0.0000000000e+00,-1.4525220039e+04,-2.3474610562e+06,-0.0000000000e+00,4.2385524895e+06,3.4216414027e+07,3.3879956217e+00,7.8477940831e+00,-1.6980044869e-22,2.1014050964e-24
3.5179897129e-01,8.9224861705e+03,1.8914191602e+06,0.0000000000e+00,-1.1076189729e+04,-2.3479686127e+06,-0.0000000000e+00,4.2394349430e+06,3.4203693798e+07,3.3869378417e+00,7.8492643190e+00,-1.6977054802e-22,1.6017698334e-24
3.5198296657e-01,6.1440189484e+03,1.8918202589e+06,0.0000000000e+00,-7.6270580049e+03,-2.3484665283e+06,-0.0000000000e+00,4.2403091491e+06,3.4191092569e+07,3.3858904903e+00,7.8507339696e+00,-1.6973952106e-22,1.1025295121e-24
3.5216696185e-01,3.3654819113e+03,1.8922135943e+06,0.0000000000e+00,-4.1778396140e+03,-2.3489548067e+06,-0.0000000000e+00,4.2411751093e+06,3.4178610309e+07,3.3848535500e+00,7.8522030407e+00,-1.6970736998e-22,6.0368331818e-25
3.5235095712e-01,5.8688692458e+02,1.8925991695e+06,0.0000000000e+00,-7.2854928569e+02,-2.3494334518e+06,-0.0000000000e+00,4.2420328253e+06,3.4166246988e+07,3.3838270035e+00,7.8536715383e+00,-1.6967409693e-22,1.0523043665e-25
3.5253495240e-01,-2.1917541607e+03,1.8929769874e+06,0.0000000000e+00,2.7207982685e+03,-2.3499024671e+06,-0.0000000000e+00,4.2428822985e+06,3.4154002576e+07,3.3828108334e+00,7.8551394680e+00,-1.6963970405e-22,-3.9282994783e-25
3.5271894768e-01,-4.9704295076e+03,1.8933470510e+06,0.0000000000e+00,6.1701883542e+03,-2.3503618564e+06,-0.0000000000e+00,4.2437235306e+06,3.4141877043e+07,3.3818050228e+00,7.8566068358e+00,-1.6960419341e-22,-8.9049865095e-25
3.5290294296e-01,-7.7491272929e+03,1.8937093632e+06,0.0000000000e+00,9.6196062947e+03,-2.3508116233e+06,-0.0000000000e+00,4.2445565231e+06,3.4129870360e+07,3.3808095549e+00,7.8580736473e+00,-1.6956756711e-22,-1.3877764887e-24
3.5308693824e-01,-1.0527835707e+04,1.8940639269e+06,0.0000000000e+00,1.3069037430e+04,-2.3512517714e+06,-0.0000000000e+00,4.2453812774e+06,3.4117982499e+07,3.3798244130e+00,7.8595399085e+00,-1.6952982720e-22,-1.8846642772e-24
3.5327093351e-01,-1.3306542955e+04,1.8944107451e+06,0.0000000000e+00,1.6518467116e+04,-2.3516823043e+06,-0.0000000000e+00,4.2461977951e+06,3.4106213430e+07,3.3788495807e+00,7.8610056250e+00,-1.6949097569e-22,-2.3811628327e-24
3.5345492879e-01,-1.6085237253e+04,1.8947498207e+06,0.0000000000e+00,1.9967880728e+04,-2.3521032257e+06,-0.0000000000e+00,4.2470060777e+06,3.4094563127e+07,3.3778850417e+00,7.8624708027e+00,-1.6945101458e-22,-2.8772729715e-24
3.5363892407e-01,-1.8863906833e+04,1.8950811565e+06,0.0000000000e+00,2.3417263655e+04,-2.3525145391e+06,-0.0000000000e+00,4.2478061267e+06,3.4083031562e+07,3.3769307799e+00,7.8639354472e+00,-1.6940994586e-22,-3.3729955099e-24
3.5382291935e-01,-2.1642539939e+04,1.8954047554e+06,0.0000000000e+00,2.6866601303e+04,-2.3529162481e+06,-0.0000000000e+00,4.2485979435e+06,3.4071618707e+07,3.3759867793e+00,7.8653995643e+00,-1.6936777147e-22,-3.8683312640e-24
3.5400691463e-01,-2.4421124827e+04,1.8957206203e+06,0.0000000000e+00,3.0315879095e+04,-2.3533083563e+06,-0.0000000000e+00,4.2493815295e+06,3.4060324535e+07,3.3750530243e+00,7.8668631598e+00,-1.6932449333e-22,-4.3632810499e-24
3.5419090990e-01,-2.7199649766e+04,1.8960287541e+06,0.0000000000e+00,3.3765082468e+04,-2.3536908671e+06,-0.0000000000e+00,4.2501568862e+06,3.4049149021e+07,3.3741294994e+00,7.8683262393e+00,-1.6928011336e-22,-4.8578456833e-24
3.5437490518e-01,-2.9978103039e+04,1.8963291595e+06,0.0000000000e+00,3.7214196876e+04,-2.3540637842e+06,-0.0000000000e+00,4.2509240150e+06,3.4038092137e+07,3.3732161891e+00,7.8697888086e+00,-1.6923463341e-22,-5.3520259795e-24
3.5455890046e-01,-3.2756472940e+04,1.8966218395e+06,0.0000000000e+00,4.0663207787e+04,-2.3544271111e+06,-0.0000000000e+00,4.2516829173e+06,3.4027153859e+07,3.3723130782e+00,7.8712508734e+00,-1.6918805536e-22,-5.8458227535e-24
3.5474289574e-01,-3.5534747775e+04,1.8969067967e+06,0.0000000000e+00,4.4112100687e+04,-2.3547808511e+06,-0.0000000000e+00,4.2524335945e+06,3.4016334161e+07,3.3714201519e+00,7.8727124393e+00,-1.6914038101e-22,-6.3392368200e-24
3.5492689101e-01,-3.8312915865e+04,1.8971840341e+06,0.0000000000e+00,4.7560861073e+04,-2.3551250079e+06,-0.0000000000e+00,4.2531760479e+06,3.4005633019e+07,3.3705373951e+00,7.8741735121e+00,-1.6909161219e-22,-6.8322689930e-24
3.5511088629e-01,-4.1090965538e+04,1.8974535544e+06,0.0000000000e+00,5.1009474461e+04,-2.3554595848e+06,-0.0000000000e+00,4.2539102789e+06,3.3995050406e+07,3.3696647934e+00,7.8756340975e+00,-1.6904175066e-22,-7.3249200857e-24
3.5529488157e-01,-4.3868885138e+04,1.8977153604e+06,0.0000000000e+00,5.4457926378e+04,-2.3557845853e+06,-0.0000000000e+00,4.2546362889e+06,3.3984586300e+07,3.3688023322e+00,7.8770942010e+00,-1.6899079818e-22,-7.8171909110e-24
3.5547887685e-01,-4.6646663018e+04,1.8979694548e+06,0.0000000000e+00,5.7906202367e+04,-2.3561000129e+06,-0.0000000000e+00,4.2553540791e+06,3.3974240677e+07,3.3679499973e+00,7.8785538283e+00,-1.6893875649e-22,-8.3090822808e-24
3.5566287213e-01,-4.9424287544e+04,1.8982158405e+06,0.0000000000e+00,6.1354287986e+04,-2.3564058709e+06,-0.0000000000e+00,4.2560636508e+06,3.3964013512e+07,3.3671077745e+00,7.8800129852e+00,-1.6888562728e-22,-8.8005950063e-24
3.5584686740e-01,-5.2201747093e+04,1.8984545200e+06,0.0000000000e+00,6.4802168805e+04,-2.3567021628e+06,-0.0000000000e+00,4.2567650054e+06,3.3953904784e+07,3.3662756499e+00,7.8814716772e+00,-1.6883141226e-22,-9.2917298977e-24
3.5603086268e-01,-5.4979030052e+04,1.8986854962e+06,0.0000000000e+00,6.8249830409e+04,-2.3569888919e+06,-0.0000000000e+00,4.2574581442e+06,3.3943914468e+07,3.3654536097e+00,7.8829299099e+00,-1.6877611307e-22,-9.7824877644e-24
3.5621485796e-01,-5.7756124820e+04,1.8989087718e+06,0.0000000000e+00,7.1697258397e+04,-2.3572660615e+06,-0.0000000000e+00,4.2581430683e+06,3.3934042542e+07,3.3646416403e+00,7.8843876890e+00,-1.6871973135e-22,-1.0272869415e-23
3.5639885324e-01,-6.0533019806e+04,1.8991243494e+06,0.0000000000e+00,7.5144438380e+04,-2.3575336752e+06,-0.0000000000e+00,4.2588197791e+06,3.3924288985e+07,3.3638397284e+00,7.8858450201e+00,-1.6866226872e-22,-1.0762875656e-23
3.5658284852e-01,-6.3309703430e+04,1.8993322318e+06,0.0000000000e+00,7.8591355983e+04,-2.3577917361e+06,-0.0000000000e+00,4.2594882778e+06,3.3914653775e+07,3.3630478607e+00,7.8873019088e+00,-1.6860372676e-22,-1.1252507294e-23
3.5676684379e-01,-6.6086164124e+04,1.8995324216e+06,0.0000000000e+00,8.2037996844e+04,-2.3580402476e+06,-0.0000000000e+00,4.2601485656e+06,3.3905136889e+07,3.3622660241e+00,7.8887583607e+00,-1.6854410704e-22,-1.1741765134e-23
3.5695083907e-01,-6.8862390328e+04,1.8997249215e+06,0.0000000000e+00,8.5484346614e+04,-2.3582792130e+06,-0.0000000000e+00,4.2608006436e+06,3.3895738307e+07,3.3614942058e+00,7.8902143814e+00,-1.6848341111e-22,-1.2230649979e-23
3.5713483435e-01,-7.1638370492e+04,1.8999097342e+06,0.0000000000e+00,8.8930390956e+04,-2.3585086355e+06,-0.0000000000e+00,4.2614445132e+06,3.3886458009e+07,3.3607323930e+00,7.8916699764e+00,-1.6842164048e-22,-1.2719162632e-23
3.5731882963e-01,-7.4414093078e+04,1.9000868622e+06,0.0000000000e+00,9.2376115545e+04,-2.3587285186e+06,-0.0000000000e+00,4.2620801753e+06,3.3877295973e+07,3.3599805732e+00,7.8931251513e+00,-1.6835879665e-22,-1.3207303893e-23
3.5750282490e-01,-7.7189546557e+04,1.9002563082e+06,0.0000000000e+00,9.5821506070e+04,-2.3589388653e+06,-0.0000000000e+00,4.2627076314e+06,3.3868252179e+07,3.3592387340e+00,7.8945799117e+00,-1.6829488110e-22,-1.3695074562e-23
3.5768682018e-01,-7.9964719408e+04,1.9004180748e+06,0.0000000000e+00,9.9266548231e+04,-2.3591396790e+06,-0.0000000000e+00,4.2633268823e+06,3.3859326609e+07,3.3585068632e+00,7.8960342632e+00,-1.6822989526e-22,-1.4182475436e-23
3.5787081546e-01,-8.2739600123e+04,1.9005721646e+06,0.0000000000e+00,1.0271122774e+05,-2.3593309629e+06,-0.0000000000e+00,4.2639379294e+06,3.3850519241e+07,3.3577849488e+00,7.8974882113e+00,-1.6816384059e-22,-1.4669507312e-23
3.5805481074e-01,-8.5514177199e+04,1.9007185802e+06,0.0000000000e+00,1.0615553032e+05,-2.3595127202e+06,-0.0000000000e+00,4.2645407736e+06,3.3841830058e+07,3.3570729789e+00,7.8989417614e+00,-1.6809671846e-22,-1.5156170984e-23
3.5823880602e-01,-8.8288439146e+04,1.9008573241e+06,0.0000000000e+00,1.0959944170e+05,-2.3596849541e+06,-0.0000000000e+00,4.2651354162e+06,3.3833259040e+07,3.3563709418e+00,7.9003949193e+00,-1.6802853028e-22,-1.5642467245e-23
3.5842280129e-01,-9.1062374481e+04,1.9009883990e+06,0.0000000000e+00,1.1304294763e+05,-2.3598476677e+06,-0.0000000000e+00,4.2657218581e+06,3.3824806168e+07,3.3556788260e+00,7.9018476903e+00,-1.6795927739e-22,-1.6128396886e-23
